CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
05|050112|South Asian Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of South Asia, defined as including Afghanistan, India, the Maldives, Myanmar (Burma), Pakistan, and Sri Lanka and related borderlands and islan|NULL|NULL|NULL|Liberal Arts
05|050113|Southeast Asian Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Southeast Asia, defined as including Brunei, Cambodia, Indonesia, Laos, Malaysia, The Philippines, Singapore, Thailand, and Viet Nam; related|NULL|NULL|NULL|Liberal Arts
05|050114|Western European Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of historical Western Europe, defined as including Britain, Ireland, France, the Low Countries, the Iberian Peninsula, Italy, the Western Medite|NULL|NULL|NULL|Liberal Arts
05|050115|Canadian Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Canada and its Pre-Columbian, colonial, and pre-federation predecessors, including immigrant flows and related borderlands and island groups.|NULL|NULL|NULL|Liberal Arts
05|050116|Balkans Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the Balkan Peninsula and associated island groups and borderlands, Southern Slavic and non-Slavic, during the medieval, Ottoman, and |NULL|NULL|NULL|Liberal Arts
05|050117|Baltic Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the coastlands of the Baltic Sea, including Baltic, Germanic, Scandinavian, and Slavic populations, related borderlands and island gr|NULL|NULL|NULL|Liberal Arts
05|050118|Slavic Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the Slavic peoples inhabiting Europe, Asia, and in immigrant groups elsewhere, including the study of the emergence and migration patterns of Slavic culture|NULL|NULL|NULL|Liberal Arts
05|050119|Caribbean Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the major islands and archipelagoes of the Caribbean Sea and related coastal borderlands, including immigration patterns and Pre-Colu|NULL|NULL|NULL|Liberal Arts
05|050120|Ural-Altaic and Central Asian Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples and countries of Inner/Central Asia, including the Turkic and Mongolian inhabitants of the Caspian, Amur, Tien Shan, Baikal, Gobi, Siberian, and|NULL|NULL|NULL|Liberal Arts
05|050121|Commonwealth Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples and countries comprising components of the historical British Empire and modern British Commonwealth, including migration patterns, shared socio|NULL|NULL|NULL|Liberal Arts
05|050122|Regional Studies (U.S., Canadian, Foreign)|A program that focuses on the defined geographic subregions and subcultures within modern and historical countries and societies. Includes such topics as Acadian Studies, French Canadian and Quebec Studies, Southern (U.S.) Studies, Appalachian (U.S.) Stud|NULL|NULL|NULL|Liberal Arts
05|050123|Chinese Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of present-day China and its historical predecessors, related borderlands and island groups, and the overseas Chinese diaspora.|NULL|NULL|NULL|Liberal Arts
05|050124|French Studies.|A program that focuses on the history, society, politics, culture, and economics of France, other Francophone countries inside and outside Europe, and the French colonial experience and the associated French minorities around the world.|NULL|NULL|NULL|Liberal Arts
05|050125|German Studies.|A program that focuses on the history, society, politics, culture, and economics of Germany, the neighboring countries of Austria and Switzerland, the German minorities in neighboring European countries, and the historical areas of German influence across|NULL|NULL|NULL|Liberal Arts
05|050126|Italian Studies.|A program that focuses on the history, society, politics, culture, and economics of modern Italy and its predecessors on the Italian Peninsula, including the overseas migrations of Italian peoples.|NULL|NULL|NULL|Liberal Arts
05|050127|Japanese Studies.|A program that focuses on the history, society, politics, culture, and economics of the peoples of Japan, and related island groups and coastal neighbors.|NULL|NULL|NULL|Liberal Arts
05|050128|Korean Studies.|A program that focuses on the history, society, politics, culture, and economics of the peoples of Korea, including related island groups and borderlands.|NULL|NULL|NULL|Liberal Arts
05|050129|Polish Studies.|A program that focuses on the history, society, politics, culture, and economics of Poland and the current and historical inhabitants of the Polish lands, including borderlands, from earliest times to the present.|NULL|NULL|NULL|Liberal Arts
05|050130|Spanish and Iberian Studies.|A program that focuses on the history, society, politics, culture, and economics of the peoples of the Iberian Peninsula and related island groups and border regions from earliest times to the present, with particular emphasis on the development of Spain |NULL|NULL|NULL|Liberal Arts
05|050131|Tibetan Studies.|A program that focuses on the history, society, politics, culture, and economics of Tibet and its borderlands, with emphasis on both pre-modern and modern Tibet and associated religious and exile movements.|NULL|NULL|NULL|Liberal Arts
05|050132|Ukraine Studies.|A program that focuses on the history, society, politics, culture, and economics of the Ukraine and its inhabitants, and related border regions, from earliest times to the present.|NULL|NULL|NULL|Liberal Arts
05|050133|Irish Studies.|A program that focuses on the history, society, politics, culture, and economics of Ireland and the Irish Diaspora, from the early Christian period to the present.|NULL|NULL|NULL|Liberal Arts
